Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
51	1691.75	357.28235	1907.0	1073.0	9.25	16.02147	37.0	0.0	921.5	121.28505	91.13098	189.38252	-62.225613	208000	3.814697e-09	5724.7256	-0.013877505	-4946.3184	0.89795697	0.0027477082	0.03875	79.0	343.25644302368164
52	1700.5	331.7578	1899.0	1126.0	3.0	3.082207	7.0	0.0	913.0	181.22552	12.666149	187.9877	122.97327	212000	-1.835823e-08	1154.9803	-0.0064533004	-245.8316	0.88102233	0.014177802	0.157	16.0	346.4212119579315
53	1531.25	375.54587	1904.0	1062.0	26.25	26.649343	59.0	0.0	873.0	172.60709	42.25883	191.2488	-34.85295	216000	-1.4126301e-08	755.8064	-0.011461797	-469.41803	0.87727743	0.0027550997	0.0265	79.0	350.56265568733215
54	1531.25	375.64038	1908.0	1120.0	23.0	23.0	46.0	0.0	869.75	170.13216	54.390717	191.19897	-50.928097	220000	-2.0623208e-08	403.55972	-0.013374064	-137.55573	0.8907262	0.006085516	0.05725	79.0	354.5142605304718
55	1434.5	441.54077	1827.0	699.0	17.25	7.495832	29.0	9.0	817.75	175.65343	41.209988	189.28107	-63.547417	224000	-5.90384e-08	1814.5978	-0.0170395	-1291.6809	0.887711	0.002646295	0.0335	79.0	358.3698184490204
56	1340.4	417.5752	1900.0	614.0	19.4	12.092974	34.0	0.0	781.0	146.10298	56.187893	186.87083	11.829218	228000	-4.768372e-10	1098.1753	-0.006654657	-579.5569	0.8996866	0.013138483	0.18975	6.0	361.374685049057
57	1589.5	520.49133	1894.0	688.0	35.75	61.920815	143.0	0.0	910.25	169.43037	41.444885	191.04764	-34.312237	232000	-3.838539e-08	639.7655	-0.019055238	-471.24863	0.8997994	0.0059270924	0.07475	79.0	365.1795189380646
58	1908.75	9.364161	1920.0	1896.0	0.0	0.0	0.0	0.0	1000.0	173.22394	36.180336	189.78165	-41.6707	236000	5.9604646e-09	497.89606	-0.015388217	-419.33722	0.88353527	0.004380635	0.0385	79.0	368.9562509059906
59	1477.5	752.00415	1914.0	175.0	4.75	8.2272415	19.0	0.0	793.5	189.46512	11.536535	192.44078	-9.9066725	240000	1.013279e-09	845.8971	-0.019044386	-363.2801	0.87173766	0.0031784459	0.045	79.0	372.9526710510254
60	1683.75	341.3051	1902.0	1094.0	19.5	22.197973	54.0	0.0	928.0	172.20122	48.039852	191.117	-51.291286	244000	-2.1457671e-09	485.87793	-0.0149606215	-381.41672	0.8885614	0.00319657	0.04375	79.0	376.67881751060486
61	1901.75	7.9490566	1915.0	1894.0	0.0	0.0	0.0	0.0	1000.0	188.14131	1.9046382	190.28123	170.9813	248000	1.37090685e-08	9.990858	-0.012174473	-5.6323256	0.89056045	0.0042802696	0.03	79.0	380.5253891944885
62	1900.75	7.7580605	1909.0	1888.0	0.0	0.0	0.0	0.0	1000.0	189.86247	0.82985663	191.19908	183.76878	252000	2.7418137e-09	3.5466826	-0.016464105	-0.34109974	0.87149036	0.0064836023	0.044	79.0	387.6481559276581
63	1896.75	18.430613	1915.0	1866.0	1.25	2.1650636	5.0	0.0	1000.0	190.24112	1.107438	191.47034	168.07576	256000	-3.5762788e-09	10.776813	-0.016289096	-1.5597038	0.85215473	0.00607741	0.05425	79.0	391.4093234539032
